Title: Maximum Temperature of All station during year 2000 to 2022

SL.	Station	Year	Month	Temperature (Deg.Cel)
1	Dinajpur (10120)	2000	1	22.99
2	Dinajpur (10120)	2000	2	24.50
3	Dinajpur (10120)	2000	3	29.67
4	Dinajpur (10120)	2000	4	31.88
5	Dinajpur (10120)	2000	5	31.70
6	Dinajpur (10120)	2000	6	32.63
7	Dinajpur (10120)	2000	7	32.70
8	Dinajpur (10120)	2000	8	32.97
9	Dinajpur (10120)	2000	9	31.11
10	Dinajpur (10120)	2000	10	32.11
11	Dinajpur (10120)	2000	11	29.18
12	Dinajpur (10120)	2000	12	26.26
13	Dinajpur (10120)	2001	1	23.36
14	Dinajpur (10120)	2001	2	27.01
15	Dinajpur (10120)	2001	3	32.16
16	Dinajpur (10120)	2001	4	34.79
17	Dinajpur (10120)	2001	5	32.84
18	Dinajpur (10120)	2001	6	32.86
19	Dinajpur (10120)	2001	7	33.58
20	Dinajpur (10120)	2001	8	33.91
21	Dinajpur (10120)	2001	9	32.35
22	Dinajpur (10120)	2001	10	31.26
23	Dinajpur (10120)	2001	11	29.64
24	Dinajpur (10120)	2001	12	24.48
25	Dinajpur (10120)	2002	1	24.50
26	Dinajpur (10120)	2002	2	28.06
27	Dinajpur (10120)	2002	3	31.36
28	Dinajpur (10120)	2002	4	30.59
29	Dinajpur (10120)	2002	5	31.61
30	Dinajpur (10120)	2002	6	31.72
31	Dinajpur (10120)	2002	7	31.05
32	Dinajpur (10120)	2002	8	32.73
33	Dinajpur (10120)	2002	9	32.84
34	Dinajpur (10120)	2002	10	31.94
35	Dinajpur (10120)	2002	11	29.39
36	Dinajpur (10120)	2002	12	25.02
37	Dinajpur (10120)	2003	1	19.60
38	Dinajpur (10120)	2003	2	25.64
39	Dinajpur (10120)	2003	3	28.40
40	Dinajpur (10120)	2003	4	31.44
41	Dinajpur (10120)	2003	5	32.76
42	Dinajpur (10120)	2003	6	31.91
43	Dinajpur (10120)	2003	7	32.74
44	Dinajpur (10120)	2003	8	33.25
