Title: Minimum Temperature of All station during year 2000 to 2022

SL.	Station	Year	Month	Temperature (Deg.Cel)
1	Dinajpur (10120)	2000	1	10.81
2	Dinajpur (10120)	2000	2	12.01
3	Dinajpur (10120)	2000	3	16.57
4	Dinajpur (10120)	2000	4	20.98
5	Dinajpur (10120)	2000	5	23.68
6	Dinajpur (10120)	2000	6	25.88
7	Dinajpur (10120)	2000	7	26.39
8	Dinajpur (10120)	2000	8	26.49
9	Dinajpur (10120)	2000	9	25.06
10	Dinajpur (10120)	2000	10	22.94
11	Dinajpur (10120)	2000	11	17.62
12	Dinajpur (10120)	2000	12	11.49
13	Dinajpur (10120)	2001	1	9.65
14	Dinajpur (10120)	2001	2	12.70
15	Dinajpur (10120)	2001	3	17.21
16	Dinajpur (10120)	2001	4	21.33
17	Dinajpur (10120)	2001	5	23.33
18	Dinajpur (10120)	2001	6	25.36
19	Dinajpur (10120)	2001	7	26.52
20	Dinajpur (10120)	2001	8	26.75
21	Dinajpur (10120)	2001	9	25.64
22	Dinajpur (10120)	2001	10	23.42
23	Dinajpur (10120)	2001	11	18.56
24	Dinajpur (10120)	2001	12	12.62
25	Dinajpur (10120)	2002	1	11.86
26	Dinajpur (10120)	2002	2	13.72
27	Dinajpur (10120)	2002	3	17.90
28	Dinajpur (10120)	2002	4	21.34
29	Dinajpur (10120)	2002	5	23.73
30	Dinajpur (10120)	2002	6	25.01
31	Dinajpur (10120)	2002	7	25.69
32	Dinajpur (10120)	2002	8	26.15
33	Dinajpur (10120)	2002	9	25.25
34	Dinajpur (10120)	2002	10	22.01
35	Dinajpur (10120)	2002	11	17.50
36	Dinajpur (10120)	2002	12	13.19
37	Dinajpur (10120)	2003	1	8.19
38	Dinajpur (10120)	2003	2	13.78
39	Dinajpur (10120)	2003	3	17.07
40	Dinajpur (10120)	2003	4	21.28
41	Dinajpur (10120)	2003	5	23.32
42	Dinajpur (10120)	2003	6	25.10
43	Dinajpur (10120)	2003	7	26.34
44	Dinajpur (10120)	2003	8	26.79
45	Dinajpur (10120)	2003	9	25.84
46	Dinajpur (10120)	2003	10	23.11
47	Dinajpur (10120)	2003	11	17.12
48	Dinajpur (10120)	2003	12	12.95
49	Dinajpur (10120)	2004	1	10.57
50	Dinajpur (10120)	2004	2	12.86
51	Dinajpur (10120)	2004	3	19.57
52	Dinajpur (10120)	2004	4	20.98
53	Dinajpur (10120)	2004	5	23.84
54	Dinajpur (10120)	2004	6	25.19
55	Dinajpur (10120)	2004	7	25.48
56	Dinajpur (10120)	2004	8	26.48
57	Dinajpur (10120)	2004	9	25.26
58	Dinajpur (10120)	2004	10	21.41
59	Dinajpur (10120)	2004	11	15.68
60	Dinajpur (10120)	2004	12	12.79
61	Dinajpur (10120)	2005	1	10.95
62	Dinajpur (10120)	2005	2	14.59
63	Dinajpur (10120)	2005	3	19.33
64	Dinajpur (10120)	2005	4	21.71
65	Dinajpur (10120)	2005	5	23.14
66	Dinajpur (10120)	2005	6	25.29
67	Dinajpur (10120)	2005	7	26.13
68	Dinajpur (10120)	2005	8	26.48
69	Dinajpur (10120)	2005	9	26.36
70	Dinajpur (10120)	2005	10	22.35
71	Dinajpur (10120)	2005	11	16.35
72	Dinajpur (10120)	2005	12	12.24
73	Dinajpur (10120)	2006	1	11.02
74	Dinajpur (10120)	2006	2	16.55
75	Dinajpur (10120)	2006	3	17.71
76	Dinajpur (10120)	2006	4	21.37
77	Dinajpur (10120)	2006	5	23.86
78	Dinajpur (10120)	2006	6	25.33
79	Dinajpur (10120)	2006	7	26.60
80	Dinajpur (10120)	2006	8	26.61
81	Dinajpur (10120)	2006	9	25.05
82	Dinajpur (10120)	2006	10	22.67
83	Dinajpur (10120)	2006	11	17.47
84	Dinajpur (10120)	2006	12	13.15
85	Dinajpur (10120)	2007	1	9.87
86	Dinajpur (10120)	2007	2	14.37
87	Dinajpur (10120)	2007	3	17.12
88	Dinajpur (10120)	2007	4	22.07
89	Dinajpur (10120)	2007	5	24.52
90	Dinajpur (10120)	2007	6	25.34
91	Dinajpur (10120)	2007	7	26.13
92	Dinajpur (10120)	2007	8	26.71
93	Dinajpur (10120)	2007	9	25.66
94	Dinajpur (10120)	2007	10	23.07
95	Dinajpur (10120)	2007	11	17.71
96	Dinajpur (10120)	2007	12	11.94
97	Dinajpur (10120)	2008	1	11.77
98	Dinajpur (10120)	2008	2	12.26
99	Dinajpur (10120)	2008	3	18.94
100	Dinajpur (10120)	2008	4	21.79
101	Dinajpur (10120)	2008	5	23.45
102	Dinajpur (10120)	2008	6	25.61
103	Dinajpur (10120)	2008	7	26.15
104	Dinajpur (10120)	2008	8	26.08
105	Dinajpur (10120)	2008	9	25.71
106	Dinajpur (10120)	2008	10	22.52
107	Dinajpur (10120)	2008	11	16.47
108	Dinajpur (10120)	2008	12	15.27
109	Dinajpur (10120)	2009	1	12.51
110	Dinajpur (10120)	2009	2	14.01
111	Dinajpur (10120)	2009	3	17.59
112	Dinajpur (10120)	2009	4	21.99
113	Dinajpur (10120)	2009	5	23.62
114	Dinajpur (10120)	2009	6	25.85
115	Dinajpur (10120)	2009	7	26.55
116	Dinajpur (10120)	2009	8	26.31
117	Dinajpur (10120)	2009	9	26.23
118	Dinajpur (10120)	2009	10	22.45
119	Dinajpur (10120)	2009	11	17.13
120	Dinajpur (10120)	2009	12	12.29
121	Dinajpur (10120)	2010	1	10.09
122	Dinajpur (10120)	2010	2	13.11
123	Dinajpur (10120)	2010	3	19.17
124	Dinajpur (10120)	2010	4	23.50
125	Dinajpur (10120)	2010	5	24.23
126	Dinajpur (10120)	2010	6	25.29
127	Dinajpur (10120)	2010	7	26.70
128	Dinajpur (10120)	2010	8	26.80
129	Dinajpur (10120)	2010	9	25.86
130	Dinajpur (10120)	2010	10	23.11
131	Dinajpur (10120)	2010	11	18.21
132	Dinajpur (10120)	2010	12	11.93
133	Dinajpur (10120)	2011	1	9.18
134	Dinajpur (10120)	2011	2	13.83
135	Dinajpur (10120)	2011	3	17.85
136	Dinajpur (10120)	2011	4	21.39
137	Dinajpur (10120)	2011	5	23.34
138	Dinajpur (10120)	2011	6	25.47
139	Dinajpur (10120)	2011	7	26.29
140	Dinajpur (10120)	2011	8	26.14
141	Dinajpur (10120)	2011	9	26.09
142	Dinajpur (10120)	2011	10	23.44
143	Dinajpur (10120)	2011	11	16.49
144	Dinajpur (10120)	2011	12	12.08
145	Dinajpur (10120)	2012	1	10.71
146	Dinajpur (10120)	2012	2	13.10
147	Dinajpur (10120)	2012	3	17.23
148	Dinajpur (10120)	2012	4	21.68
149	Dinajpur (10120)	2012	5	24.31
150	Dinajpur (10120)	2012	6	25.71
151	Dinajpur (10120)	2012	7	26.74
152	Dinajpur (10120)	2012	8	27.05
153	Dinajpur (10120)	2012	9	25.81
154	Dinajpur (10120)	2012	10	21.59
155	Dinajpur (10120)	2012	11	15.02
156	Dinajpur (10120)	2012	12	11.75
157	Dinajpur (10120)	2013	1	8.51
158	Dinajpur (10120)	2013	2	13.88
159	Dinajpur (10120)	2013	3	17.95
160	Dinajpur (10120)	2013	4	21.28
161	Dinajpur (10120)	2013	5	23.87
162	Dinajpur (10120)	2013	6	26.45
163	Dinajpur (10120)	2013	7	26.89
164	Dinajpur (10120)	2013	8	26.13
165	Dinajpur (10120)	2013	9	26.02
166	Dinajpur (10120)	2013	10	22.30
167	Dinajpur (10120)	2013	11	15.11
168	Dinajpur (10120)	2013	12	12.28
169	Dinajpur (10120)	2014	1	11.19
170	Dinajpur (10120)	2014	2	12.46
171	Dinajpur (10120)	2014	3	17.05
172	Dinajpur (10120)	2014	4	21.21
173	Dinajpur (10120)	2014	5	23.97
174	Dinajpur (10120)	2014	6	25.90
175	Dinajpur (10120)	2014	7	26.86
176	Dinajpur (10120)	2014	8	26.55
177	Dinajpur (10120)	2014	9	25.27
178	Dinajpur (10120)	2014	10	22.27
179	Dinajpur (10120)	2014	11	16.20
180	Dinajpur (10120)	2014	12	12.45
181	Dinajpur (10120)	2015	1	11.42
182	Dinajpur (10120)	2015	2	14.35
183	Dinajpur (10120)	2015	3	17.79
184	Dinajpur (10120)	2015	4	20.99
185	Dinajpur (10120)	2015	5	23.96
186	Dinajpur (10120)	2015	6	26.11
187	Dinajpur (10120)	2015	7	26.40
188	Dinajpur (10120)	2015	8	26.35
189	Dinajpur (10120)	2015	9	25.82
190	Dinajpur (10120)	2015	10	22.71
191	Dinajpur (10120)	2015	11	17.20
192	Dinajpur (10120)	2015	12	11.61
193	Dinajpur (10120)	2016	1	10.28
194	Dinajpur (10120)	2016	2	13.98
195	Dinajpur (10120)	2016	3	18.81
196	Dinajpur (10120)	2016	4	22.98
197	Dinajpur (10120)	2016	5	23.34
198	Dinajpur (10120)	2016	6	26.17
199	Dinajpur (10120)	2016	7	26.51
200	Dinajpur (10120)	2016	8	26.91
201	Dinajpur (10120)	2016	9	25.64
202	Dinajpur (10120)	2016	10	23.28
203	Dinajpur (10120)	2016	11	16.74
204	Dinajpur (10120)	2016	12	13.30
205	Dinajpur (10120)	2017	1	10.89
206	Dinajpur (10120)	2017	2	13.40
207	Dinajpur (10120)	2017	3	16.75
208	Dinajpur (10120)	2017	4	21.48
209	Dinajpur (10120)	2017	5	23.75
210	Dinajpur (10120)	2017	6	26.04
211	Dinajpur (10120)	2017	7	26.60
212	Dinajpur (10120)	2017	8	26.75
213	Dinajpur (10120)	2017	9	26.37
214	Dinajpur (10120)	2017	10	23.61
215	Dinajpur (10120)	2017	11	16.39
216	Dinajpur (10120)	2017	12	13.56
217	Dinajpur (10120)	2018	1	8.80
218	Dinajpur (10120)	2018	2	13.59
219	Dinajpur (10120)	2018	3	18.50
220	Dinajpur (10120)	2018	4	21.74
221	Dinajpur (10120)	2018	5	23.13
222	Dinajpur (10120)	2018	6	25.96
223	Dinajpur (10120)	2018	7	27.03
224	Dinajpur (10120)	2018	8	26.98
225	Dinajpur (10120)	2018	9	26.11
226	Dinajpur (10120)	2018	10	21.48
227	Dinajpur (10120)	2018	11	15.71
228	Dinajpur (10120)	2018	12	11.35
229	Dinajpur (10120)	2019	1	10.44
230	Dinajpur (10120)	2019	2	13.76
231	Dinajpur (10120)	2019	3	16.60
232	Dinajpur (10120)	2019	4	21.48
233	Dinajpur (10120)	2019	5	23.75
234	Dinajpur (10120)	2019	6	25.57
235	Dinajpur (10120)	2019	7	26.56
236	Dinajpur (10120)	2019	8	26.99
237	Dinajpur (10120)	2019	9	25.72
238	Dinajpur (10120)	2019	10	22.68
239	Dinajpur (10120)	2019	11	18.22
240	Dinajpur (10120)	2019	12	11.40
241	Dinajpur (10120)	2020	1	10.92
242	Dinajpur (10120)	2020	2	11.93
243	Dinajpur (10120)	2020	3	17.55
244	Dinajpur (10120)	2020	4	20.14
245	Dinajpur (10120)	2020	5	22.85
246	Dinajpur (10120)	2020	6	26.21
247	Dinajpur (10120)	2020	7	26.46
248	Dinajpur (10120)	2020	8	27.08
249	Dinajpur (10120)	2020	9	25.98
250	Dinajpur (10120)	2020	10	24.35
251	Dinajpur (10120)	2020	11	16.22
252	Dinajpur (10120)	2020	12	12.53
253	Dinajpur (10120)	2021	1	11.15
254	Dinajpur (10120)	2021	2	12.93
255	Dinajpur (10120)	2021	3	18.29
256	Dinajpur (10120)	2021	4	21.76
257	Dinajpur (10120)	2021	5	23.94
258	Dinajpur (10120)	2021	6	26.02
259	Dinajpur (10120)	2021	7	27.00
260	Dinajpur (10120)	2021	8	26.55
261	Dinajpur (10120)	2021	9	26.04
262	Dinajpur (10120)	2021	10	23.74
263	Dinajpur (10120)	2021	11	16.30
264	Dinajpur (10120)	2021	12	12.95
265	Dinajpur (10120)	2022	1	11.40
266	Dinajpur (10120)	2022	2	12.26
267	Dinajpur (10120)	2022	3	19.16
268	Dinajpur (10120)	2022	4	23.28
269	Dinajpur (10120)	2022	5	23.77
270	Dinajpur (10120)	2022	6	24.91
271	Dinajpur (10120)	2022	7	27.33
272	Dinajpur (10120)	2022	8	26.85
273	Dinajpur (10120)	2022	9	26.16
274	Dinajpur (10120)	2022	10	22.84
275	Dinajpur (10120)	2022	11	16.84
276	Dinajpur (10120)	2022	12	13.44
277	Rangpur (10208)	2000	1	11.05
278	Rangpur (10208)	2000	2	12.03
279	Rangpur (10208)	2000	3	16.67
280	Rangpur (10208)	2000	4	21.35
281	Rangpur (10208)	2000	5	23.62
282	Rangpur (10208)	2000	6	25.59
283	Rangpur (10208)	2000	7	26.26
284	Rangpur (10208)	2000	8	26.20
285	Rangpur (10208)	2000	9	24.80
286	Rangpur (10208)	2000	10	23.04
287	Rangpur (10208)	2000	11	18.22
288	Rangpur (10208)	2000	12	12.19
289	Rangpur (10208)	2001	1	9.76
290	Rangpur (10208)	2001	2	13.39
291	Rangpur (10208)	2001	3	16.84
292	Rangpur (10208)	2001	4	21.59
293	Rangpur (10208)	2001	5	23.07
294	Rangpur (10208)	2001	6	25.43
295	Rangpur (10208)	2001	7	26.43
296	Rangpur (10208)	2001	8	26.40
297	Rangpur (10208)	2001	9	25.66
298	Rangpur (10208)	2001	10	23.29
299	Rangpur (10208)	2001	11	19.26
300	Rangpur (10208)	2001	12	13.31
301	Rangpur (10208)	2002	1	12.46
302	Rangpur (10208)	2002	2	14.22
303	Rangpur (10208)	2002	3	17.92
304	Rangpur (10208)	2002	4	20.96
305	Rangpur (10208)	2002	5	23.46
306	Rangpur (10208)	2002	6	24.92
307	Rangpur (10208)	2002	7	25.82
308	Rangpur (10208)	2002	8	26.12
309	Rangpur (10208)	2002	9	25.36
310	Rangpur (10208)	2002	10	22.48
311	Rangpur (10208)	2002	11	18.11
312	Rangpur (10208)	2002	12	14.10
